state,code,procedure,n_hospitals,median_price,lowest_price,highest_price,shoppable_volume,total_volume,conservative_per_patient,conservative_total,aspirational_per_patient,aspirational_total
TN,70553,Brain MRI w/ contrast,4,1264.0,1261.0,1618.0,16049,22928,3.0,45904.0,357.0,8175394.0
TN,74177,CT scan abdomen,4,1434.0,1283.0,1612.0,54768,78240,151.0,8296484.0,329.0,25741853.0
TX,27130,Hip replacement,38,18575.0,14605.0,41911.0,3764,4706,3971.0,14948689.0,27306.0,128501846.0
TX,27447,Knee replacement,43,17197.0,13379.0,50270.0,4000,4706,3818.0,15271899.0,36891.0,173611116.0
TX,29827,Shoulder arthroscopy,42,11034.0,4114.0,25576.0,3085,5143,6921.0,21355509.0,21462.0,110378788.0
TX,43239,Upper GI endoscopy,54,2136.0,873.0,3453.0,68643,114406,1263.0,86709137.0,2580.0,295199294.0
TX,45378,"Colonoscopy, diagnostic",57,1849.0,828.0,2892.0,11022,14697,1021.0,11254246.0,2064.0,30331541.0
TX,47562,Lap. cholecystectomy,50,7608.0,5538.0,13849.0,558,1396,2070.0,1155906.0,8311.0,11602041.0
TX,70553,Brain MRI w/ contrast,62,1696.0,413.0,1461.0,45103,64433,1283.0,57862635.0,1048.0,67498961.0
TX,74177,CT scan abdomen,64,2033.0,420.0,4546.0,164100,234429,1613.0,264682224.0,4127.0,967406749.0
VA,70553,Brain MRI w/ contrast,4,3103.0,3117.0,3121.0,20503,29290,0.0,0.0,4.0,121143.0
VA,74177,CT scan abdomen,4,2330.0,2341.0,2053.0,71094,101563,0.0,0.0,0.0,0.0
WA,27130,Hip replacement,6,4858.0,86027.0,753.0,768,961,0.0,0.0,0.0,0.0
WA,27447,Knee replacement,7,13148.0,30103.0,22190.0,816,961,0.0,0.0,0.0,0.0
WA,29827,Shoulder arthroscopy,7,3533.0,11058.0,12051.0,1247,2079,0.0,0.0,992.0,2063058.0
WA,43239,Upper GI endoscopy,20,2205.0,626.0,3524.0,16891,28153,1579.0,26668701.0,2898.0,81591471.0
WA,45378,"Colonoscopy, diagnostic",18,1585.0,613.0,4758.0,2101,2802,971.0,2040883.0,4144.0,11612645.0
WA,47562,Lap. cholecystectomy,12,3994.0,8117.0,7325.0,106,267,0.0,0.0,0.0,0.0
WA,70553,Brain MRI w/ contrast,30,1847.0,392.0,2295.0,13441,19202,1454.0,19549989.0,1902.0,36527990.0
WA,74177,CT scan abdomen,30,1526.0,345.0,1202.0,55621,79459,1181.0,65691536.0,857.0,68087396.0
WI,27130,Hip replacement,14,7346.0,3718.0,3284.0,700,875,3628.0,2539549.0,0.0,0.0
WI,27447,Knee replacement,16,8531.0,3718.0,2798.0,743,875,4812.0,3579105.0,0.0,0.0
WI,29827,Shoulder arthroscopy,17,5050.0,2157.0,2341.0,440,734,2894.0,1274299.0,185.0,135531.0
WI,43239,Upper GI endoscopy,16,1700.0,344.0,3655.0,10581,17635,1356.0,14352070.0,3311.0,58390108.0
WI,45378,"Colonoscopy, diagnostic",17,1996.0,287.0,2436.0,1303,1738,1709.0,2228075.0,2149.0,3734994.0
WI,47562,Lap. cholecystectomy,17,5238.0,1574.0,5383.0,99,249,3665.0,364998.0,3809.0,948525.0
WI,70553,Brain MRI w/ contrast,18,2665.0,1136.0,6304.0,12299,17571,1529.0,18807114.0,5168.0,90803484.0
WI,74177,CT scan abdomen,18,2768.0,984.0,4705.0,43946,62781,1783.0,78371520.0,3721.0,233581769.0
WV,27130,Hip replacement,2,19951.0,15751.0,24152.0,460,576,4200.0,1935510.0,8401.0,4838775.0
WV,27447,Knee replacement,2,16073.0,15387.0,16759.0,489,576,686.0,335965.0,1372.0,790507.0
WV,29827,Shoulder arthroscopy,2,11682.0,6290.0,17074.0,106,177,5392.0,572626.0,10784.0,1908754.0
WV,43239,Upper GI endoscopy,4,2325.0,709.0,3630.0,3261,5436,1616.0,5269292.0,2920.0,15874655.0
WV,45378,"Colonoscopy, diagnostic",4,2123.0,1104.0,2995.0,1110,1480,1019.0,1131161.0,1892.0,2799665.0
WV,47562,Lap. cholecystectomy,4,8203.0,6052.0,8790.0,40,101,2151.0,86893.0,2737.0,276477.0
WV,70553,Brain MRI w/ contrast,5,1830.0,581.0,1190.0,2782,3975,1249.0,3474061.0,609.0,2421762.0
WV,74177,CT scan abdomen,5,1781.0,650.0,1259.0,13355,19079,1131.0,15105098.0,609.0,11616451.0
WY,27130,Hip replacement,5,34968.0,13743.0,63425.0,55,69,21225.0,1171638.0,49682.0,3428076.0
WY,27447,Knee replacement,5,38154.0,11811.0,60908.0,58,69,26343.0,1544998.0,49096.0,3387651.0
WY,29827,Shoulder arthroscopy,4,18934.0,2899.0,43774.0,157,262,16035.0,2520765.0,40875.0,10709347.0
WY,43239,Upper GI endoscopy,6,2737.0,1575.0,4796.0,2932,4888,1161.0,3405361.0,3220.0,15740900.0
WY,45378,"Colonoscopy, diagnostic",6,3121.0,1038.0,4118.0,264,353,2083.0,551505.0,3080.0,1087235.0
WY,47562,Lap. cholecystectomy,5,15303.0,4233.0,27001.0,10,26,11070.0,115129.0,22768.0,591967.0
WY,70553,Brain MRI w/ contrast,6,3193.0,2075.0,3195.0,1145,1637,1117.0,1280487.0,1119.0,1832496.0
WY,74177,CT scan abdomen,6,3677.0,4025.0,3281.0,3952,5646,0.0,0.0,0.0,0.0
